sku,productname,vendor_price
EZT10ft/8ft-BAG,47in x 10.5in x 5in Carry Bag for 8ft or 10ft EZ Tube Displays (w/ Wheels),70
SBAG24,28in x 12in x 4in Travel Bag for 24in SilverStep Banner Stand,28
SBAG335,37in x 11in x 3in Travel Bag for 33in SilverStep Banner Stand,34
SBAG36,39in x 10in x 3in Travel Bag for 36in SilverStep Banner Stand,34
SBAG48,50in x 10in x 3in Travel Bag for 48in SilverStep Banner Stand,45
SBAG60,62in x 10in x 3in Travel Bag for 60in SilverStep Banner Stand,58
TBAGLG,39.75in x 10.75in x 2.75in Large Travel Bag,65
CAS-SBAG,11.8in x 8.6in Casita Canopy Tent Sand Bag (Set of Four),9
CAS-BAGWHL,58in x 11.5in x 10in Bag for 10ft Casita Canopy Tents (w/ Wheels),53
CAS-BAGWHL15/20,58in x 18in x 13in Bag for 15-20ft Casita Canopy Tents (w/ Wheels),67
X-BAGMDLG,X2/X3 Banner Stand Carry Bag,28
LACAJA-W/BOX,64in x 16.5in x 10in La Caja Hard Case (w/ Wheels),213
LACAJITA-W/BOX,53in x 16.5in x 10in LACAJITA Hard Case (w/ Wheels),201
MHCGFAB,32.5in x 20.5in x 12in Medium Hard Case and Fabric Wrap (w/ Wheels),219
MHC-FABGO,Stretch Fabric Graphic Wrap for Medium Hard Case,52
MHC,32.5in x 20.5in x 12in Medium Hard Case (w/ Wheels),167
HTCG,36in x 16in x 11in Hard Trolley Plastic Case and  Fabric Wrap (w/ Wheels),369
HTCGO,Stretch Fabric Graphic Wrap Only for Hard Trolley Case,128
HTC,36in x 16in x 11in Hard Trolley Plastic Carrying Case (w/ Wheels),241
GCC-G,39in x 25in x 15in Genie Counter Case,537
GCC-GO,39in x 25in x 15in Genie Counter Case (Graphic Only),27
GCC,39in x 25in x 15in Genie Counter Case (Hardware Only),510
PU-POD-GO,Graphic Print for Podium Case,56
HHC-GP,14in x 34in x 13n Half Hard Case,167
HHC-GO,14in x 34in x 13in Half Hard Case (Graphic Only),45
HHC-HO,34in x 14in x 13in Half Hard Case w/ Wheels,123
RPL-LIGHTBLK,RPL Black Light 150 Watt,53
RPL-LIGHTSLV,RPL - Silver Light 150 Watt,53
RPL-LEDBLK,RPL-Black LED Light,84
RPL-LEDSLV,RPL-Silver LED Light,84
SLIGHT,Silver 50 Watt Halogen Light for Banner Stands,17
BLIGHT,Black 50 Watt Halogen Light for Banner Stands,17
CLEDLIGHT,Banner Stands - Silver Clamp Light LED,43
EZT-LEDSLV,EZ Tube - Silver Light LED,88
EZT-LEDBLK,EZ Tube - Black Light LED,88
NA:  LTLED-WHITE,18in T135 LED Light for RPL & Tube Frames,69
LL-LED4X8-DSWT,Resort Ladder Lights - 4 ft X 8 ft Double-Sided LED,951
LL-LED5X8-DSWT,Resort Ladder Lights - 5 ft X 8 ft Double-Sided LED,1094
LL-LED10X8-DSWT,Resort Ladder Lights - 10 ft X 8 ft Double-Sided LED,2116
LL-LED5X8-SSWT,Resort Ladder Lights - 5 ft X 8 ft Single-Sided LED,865
TTL-LEDBLK,Tahoe Twistlock - Black Light LED,74
TTL-LEDSLV,Tahoe Twistlock - Silver Light LED,74
AF-LIGHTLGSLV,Aspen Silver Light - Large (150 W),53
AF-LIGHTLGBLK,Aspen Black Light - Large (150 W),43
AF-LIGHTSMSLV,Aspen Silver Light - Small (50 W),45
AF-LIGHTSMBLK,Aspen Black Light - Small (50 W),35
AF-LEDSLV,Aspen Fabric Frames - Silver LED Light,88
AF-LEDBLK,Aspen Fabric Frames - Black LED Light,88
